delta,L,minent
0.40000000000000013,23.0,7.72831565293903
0.5,3.0,1.0986122886681098
0.5,5.0,1.8540613219705675
0.5,7.0,2.5418029396059776
0.5,9.0,3.1993581261591832
0.5,11.0,3.8395482669773604
0.5,13.0,4.46838406347839
0.5,15.0,5.0891918398531
0.5,17.0,5.70401361626773
0.5,19.0,6.314196066533215
0.5,21.0,6.920675354401333
0.5,23.0,7.524129190769368
0.6000000000000001,3.0,1.0986122886681098
0.6000000000000001,5.0,1.8385717498842085
0.6000000000000001,7.0,2.5076920203717448
0.6000000000000001,9.0,3.1451636218507555
0.6000000000000001,11.0,3.764400585415025
0.6000000000000001,13.0,4.3717013052630875
0.6000000000000001,15.0,4.970555668773604
0.6000000000000001,17.0,5.563108198971529
0.6000000000000001,19.0,6.150774259457875
0.6000000000000001,21.0,6.734538374930839
0.6000000000000001,23.0,7.315113627229133
0.7000000000000002,3.0,1.0986122886681098
0.7000000000000002,5.0,1.8225463990346686
0.7000000000000002,7.0,2.4722357062077056
0.7000000000000002,9.0,3.088674483570477
0.7000000000000002,11.0,3.685924292314999
0.7000000000000002,13.0,4.270598839327946
0.7000000000000002,15.0,4.846367484136181
0.7000000000000002,17.0,5.4154872830994565
0.7000000000000002,19.0,5.979449034233077
0.7000000000000002,21.0,6.53929038227214
0.7000000000000002,23.0,7.095763266355211
0.8,3.0,1.0986122886681098
0.8,5.0,1.8053427026379454
0.8,7.0,2.4339455901244493
0.8,9.0,3.0274550420563324
0.8,11.0,3.6006756502425987
0.8,13.0,4.160584281939029
0.8,15.0,4.7110572160911035
0.8,17.0,5.254481283898651
0.8,19.0,5.792434274328735
0.8,21.0,6.326015084570991
0.8,23.0,6.856020454998001
0.9000000000000001,3.0,1.0986122886681098
0.9000000000000001,5.0,1.7853535026228713
0.9000000000000001,7.0,2.389099863155178
0.9000000000000001,9.0,2.955413194572244
0.9000000000000001,11.0,3.500037909866377
0.9000000000000001,13.0,4.030412792132859
0.9000000000000001,15.0,4.550677709262635
0.9000000000000001,17.0,5.063384848039709
0.9000000000000001,19.0,5.570222817059506
0.9000000000000001,21.0,6.072368518244108
0.9000000000000001,23.0,6.57067572554839
1.0,3.0,1.0986122886681098
1.0,5.0,1.7456265509830031
1.0,7.0,2.2985099271108047
1.0,9.0,2.808452172761656
1.0,11.0,3.293384861787544
1.0,13.0,3.761838284767114
1.0,15.0,4.21857874609785
1.0,17.0,4.666552213593728
1.0,19.0,5.1077113294155385
1.0,21.0,5.543418804779645
1.0,23.0,5.974664197090173
