L,delta,maxp,minent
10.0,-0.29999999999999993,0.015607793785059089,4.159984887879625
10.0,-0.19999999999999996,0.016815420024788447,4.085458954929209
10.0,-0.09999999999999998,0.01792136151436153,4.021761896957562
10.0,0.0,0.02399611566897411,3.7298633088589295
10.0,0.10000000000000009,0.07488473101168971,2.591805267562795
10.0,0.20000000000000018,0.08839275816999063,2.4259652338482125
10.0,0.30000000000000004,0.10277473568987919,2.2752157179370487
10.0,0.40000000000000013,0.11776105195757391,2.139097690977833
10.0,0.5,0.13309490694963266,2.016692819154416
10.0,0.6000000000000001,0.14855346541945133,1.9068103490423471
10.0,0.7000000000000002,0.16395610648748773,1.8081565303497944
10.0,0.8,0.1791632081054739,1.7194581114321008
10.0,0.9000000000000001,0.1940700357618139,1.6395361759853937
10.0,1.0,0.20859932104274576,1.5673399912494017
12.0,-1.0,0.0010822510822511133,6.828712071641656
12.0,-0.9,0.0017190252645609954,6.365997855446266
12.0,-0.8,0.0024641771957170542,6.005897322050333
12.0,-0.7,0.003342694095748511,5.700978181639409
12.0,-0.6,0.004379683744755779,5.430778761594302
12.0,-0.5,0.005601524266852298,5.184716527768811
12.0,-0.3999999999999999,0.007037088606219404,4.9565607446006
12.0,-0.29999999999999993,0.008718598716140112,4.742296751664861
12.0,-0.19999999999999996,0.010682301154336798,4.539167004769885
12.0,-0.09999999999999998,0.012969073684625772,4.345187703048114
12.0,0.0,0.015624999999999983,4.158883083359673
12.0,0.10000000000000009,0.018701903734650985,3.9791299563112394
12.0,0.20000000000000018,0.022257795143072582,3.8050629882169646
12.0,0.30000000000000004,0.02635714353577276,3.636015938809393
12.0,0.40000000000000013,0.031070840947874642,3.4714854897099716
12.0,0.5,0.03647566711813338,3.3111098950041926
12.0,0.6000000000000001,0.042653007385166225,3.1546574943963566
12.0,0.7000000000000002,0.04968652582773341,3.00202149274251
12.0,0.8,0.05765847869949371,2.853217971103751
12.0,0.9000000000000001,0.06664440303454534,2.708384211359246
12.0,1.0,0.07670607648300683,2.567774349718212
14.0,-1.0,0.014793159458862162,4.213590403784353
14.0,-0.9,0.000557740675091719,7.491616443587056
14.0,-0.8,0.0008995314635963257,7.013636526201195
14.0,-0.7,0.0018118600844593134,6.313401290424721
14.0,-0.6,0.0026727911010180354,5.924631996387747
14.0,-0.5,0.0023383471695739588,6.058310936975499
14.0,-0.3999999999999999,0.002395792345989721,6.03404126943393
14.0,-0.29999999999999993,0.0028207697481697847,5.870745470935116
14.0,-0.19999999999999996,0.0032601841134708544,5.725971608673458
14.0,-0.09999999999999998,0.003711720567437123,5.596259745060605
14.0,0.0,0.012689726626568485,4.366962539917473
14.0,0.10000000000000009,0.02003494270840299,3.910277394473711
14.0,0.20000000000000018,0.025391015400903213,3.6733598919067583
14.0,0.30000000000000004,0.03177827776608999,3.4489723117243436
14.0,0.40000000000000013,0.039247260849961066,3.2378736244511024
14.0,0.5,0.047808024336575786,3.0405617804237264
14.0,0.6000000000000001,0.05743017891119912,2.85718534881914
14.0,0.7000000000000002,0.06804811300870961,2.6875402797517234
14.0,0.8,0.07956913919223427,2.5311289598963507
14.0,0.9000000000000001,0.09188203255273351,2.387249779586882
14.0,1.0,0.10486426230276964,2.2550885051073872
16.0,-1.0,7.770007770008368e-05,9.462654300590096
16.0,-0.9,0.00016636633147413724,8.701318384940633
16.0,-0.8,0.0002848516488918647,8.163542043422485
16.0,-0.7,0.0004431570861189444,7.721586254568223
16.0,-0.6,0.0006520757430337443,7.335349832487713
16.0,-0.5,0.0009243640420862,6.986404578972503
16.0,-0.3999999999999999,0.0012754200259307668,6.664479722520026
16.0,-0.29999999999999993,0.001723924230481291,6.363152057543297
16.0,-0.19999999999999996,0.002292561246503647,6.078085638158396
16.0,-0.09999999999999998,0.003008869381677551,5.806190891489613
16.0,0.0,0.0039062499999999957,5.545177444479563
