L,delta,maxp,minent
11.0,0.30000000000000004,0.020870605076346135,3.8694135656757336
11.0,0.40000000000000013,0.02313370050826956,3.7664648281480497
11.0,0.5,0.02549274350811344,3.669361435624278
11.0,0.6000000000000001,0.02793269719566495,3.57795733384641
11.0,0.7000000000000002,0.03043579559447097,3.4921358766034443
11.0,0.8,0.03298216658995297,3.411788269952866
11.0,0.9000000000000001,0.03555063950111183,3.3367971341151663
11.0,1.0,0.03811965914205413,3.2670251419450813
13.0,-1.0,0.0010165323496645984,6.891358100842894
13.0,-0.9,0.0008394203895984693,7.082798916677799
13.0,-0.8,0.0012350500476308772,6.696643785325817
13.0,-0.7,0.0016840646683587944,6.3865449622610875
13.0,-0.6,0.0021970380381460997,6.120645172053576
13.0,-0.5,0.0027826115715920475,5.884365378011257
